nazwa,dzielnica,pokoj,metry,cena_metr,cena
"Mieszkanie, 89 m², Kraków"," Kraków, Stare Miasto",3 pokoje,89 m²,9 640 zł/m²,858000zł
"Mieszkanie, 70 m², Kraków"," Kraków, Kazimierz",2 pokoje,70 m²,12 714 zł/m²,890000zł
"Mieszkanie, 67,09 m², Kraków"," Kraków, Stare Miasto",2 pokoje,"67,09 m²",12 371 zł/m²,830000zł
B. ładny apartament na sprzedaż 10min od Rynku Gł.," Kraków, Stare Miasto",3 pokoje,92 m²,9 239 zł/m²,850000zł
"Krowodrza,Lea,apartament 152m,2 garaże,4 balkony"," Kraków, Bronowice",4 pokoje,152 m²,5 921 zł/m²,900000zł
"Piękne, Dwupokojowe Mieszkanie W Starym Mieście."," Kraków, Centrum",4 pokoje,"93,70 m²",9 072 zł/m²,850000zł
Słoneczne mieszkanie z dużym balkonem," Kraków, Grzegórzki",3 pokoje,"65,43 m²",12 800 zł/m²,837504zł
3 pokoje. Topolowa," Kraków, Stare Miasto",3 pokoje,"93,70 m²",9 072 zł/m²,850000zł
Apartament w centrum miasta!," Kraków, Stare Miasto",4 pokoje,"93,70 m²",9 072 zł/m²,850000zł
Przestronny 4-pokojowy apartament z tarasem," Kraków, małopolskie",4 pokoje,"111,30 m²",7 808 zł/m²,869000zł
Bardzo blisko dworca - pod krótki najem," Kraków, Centrum",3 pokoje,92 m²,9 239 zł/m²,850000zł
Rydla 4 pokoje 105m2 + komórka lokatorska," Kraków, Bronowice",4 pokoje,105 m²,8 095 zł/m²,850000zł
Prestiżowe Centrum Starego Miasta.," Kraków, Stare Miasto",2 pokoje,"63,95 m²",12 963 zł/m²,829000zł
"2-Pokojowe, W Pobliżu Plant, bez Pcc"," Kraków, Stare Miasto",2 pokoje,"67,10 m²",12 370 zł/m²,830000zł
"Open Space, Świetna Lokalizacja !"," Kraków, Stare Miasto",2 pokoje,51 m²,17 500 zł/m²,892500zł
Nieruchomość W Spokojnej Okolicy," Kraków, Wola Justowska",3 pokoje,"80,05 m²",10 978 zł/m²,878800zł
"4 Pokoje z Balkonem, Ostatnie Piętro"," Kraków, Bronowice",4 pokoje,"108,50 m²",7 834 zł/m²,850000zł
Apartament w centrum Kazimierza," Kraków, Kazimierz",2 pokoje,70 m²,12 714 zł/m²,890000zł
Super Apartament Do Inwestycji /Garaż - Pawia," Kraków, Stare Miasto",2 pokoje,"60,50 m²",12 545 zł/m²,759000zł
Białe Piaski Apartamenty 5.1 105m2," Kraków, Bronowice Wielkie",4 pokoje,"104,59 m²",6 999 zł/m²,732000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
"Zachwycający widok, mieszkanie po remoncie"," Kraków, Salwator",3 pokoje,"78,30 m²",10 345 zł/m²,810000zł
"Mieszkanie, 58,47 m², Kraków"," Kraków, Stare Miasto",2 pokoje,"58,47 m²",14 914 zł/m²,872000zł
Dwupoziomowy apartament na Dąbiu," Kraków, małopolskie",3 pokoje,89 m²,9 551 zł/m²,850000zł
3 pokojowe z balkonem w Angel City," Kraków, Stare Miasto",3 pokoje,"71,97 m²",12 158 zł/m²,875000zł
"Mieszkanie, 105,50 m², Kraków"," Kraków, Stare Miasto",3 pokoje,"105,50 m²",7 791 zł/m²,822000zł
2 Apartamenty w centrum Kazimierza," Kraków, Kazimierz",2 pokoje,70 m²,12 714 zł/m²,890000zł
"Mieszkanie, 70 m², Kraków"," Kraków, Kazimierz",2 pokoje,70 m²,12 714 zł/m²,890000zł
"Mieszkanie, 50 m², Kraków"," Kraków, Stare Miasto",2 pokoje,50 m²,16 400 zł/m²,820000zł
"Mieszkanie, 120 m², Kraków"," Kraków, Stare Miasto",4 pokoje,120 m²,7 500 zł/m²,900000zł
Apartamenty w centrum Kazimierza," Kraków, Stare Miasto",2 pokoje,"74,88 m²",11 886 zł/m²,890000zł
81m2 dwa balkony obok Wawelu z widokiem na Wawel," Kraków, Stare Miasto",2 pokoje,81 m²,10 679 zł/m²,865000zł
Na sprzedaż one bedroom z widokiem na Wisłę," Kraków, Półwsie Zwierzynieckie",2 pokoje,"51,80 m²",16 969 zł/m²,879000zł
"Mieszkanie, 86,60 m², Kraków"," Kraków, Podgórze",3 pokoje,"86,60 m²",9 815 zł/m²,849950zł
"Mieszkanie 4-pokojowe, ul. Ułanów"," Kraków, Ugorek",4 pokoje,"111,30 m²",7 808 zł/m²,869000zł
"Mieszkanie, 74,99 m², Kraków"," Kraków, Prądnik Biały",4 pokoje,"74,99 m²",10 801 zł/m²,810000zł
Kraków – Stare Miasto – ul. Dietla - 95 m2," Kraków, Kazimierz",3 pokoje,95 m²,8 684 zł/m²,825000zł
"Mieszkanie, 90 m², Kraków"," Kraków, Ruczaj",4 pokoje,90 m²,9 989 zł/m²,899000zł
Mieszkanie w Sercu Krakowa," Kraków, Stare Miasto",2 pokoje,60 m²,14 000 zł/m²,840000zł
Dwa apartamenty w cenie 890000," Kraków, Kazimierz",2 pokoje,70 m²,12 714 zł/m²,890000zł
do wynajęcia 5 pokojowe mieszkanie," Kraków, Łagiewniki-Borek Fałęcki",5 pokoi,106 m²,8 396 zł/m²,890000zł
60 m2 na Starym Mieście!!," Kraków, Stare Miasto",2 pokoje,60 m²,14 000 zł/m²,840000zł
Wiślane Tarasy - apartament z widokiem na Wisłę," Kraków, Grzegórzki",3 pokoje,"70,29 m²",11 666 zł/m²,820000zł
"STARE MIASTO, Angel City, ul. Szlak, 3 pokoje."," Kraków, Stare Miasto",3 pokoje,"71,07 m²",12 312 zł/m²,875000zł
Apartament z charakterem na Starym Mieście!!," Kraków, Krowodrza",3 pokoje,82 m²,10 900 zł/m²,893800zł
"4-pokojowe mieszkanie, Al. Słowackiego."," Kraków, Łobzów",4 pokoje,115 m²,7 478 zł/m²,860000zł
Nowy apartament 3-pokojowy Stare Miasto," Kraków, Śródmieście",3 pokoje,"58,74 m²",14 668 zł/m²,"861598,32zł"
4 pokoje w centrum pod inwestycję bez prowizji," Kraków, Stare Miasto",4 pokoje,"118,56 m²",7 161 zł/m²,849000zł
Białe Piaski Apartamenty 5.1 105m2," Kraków, Bronowice Wielkie",4 pokoje,"104,59 m²",6 999 zł/m²,732000zł
"Krowodrza - Łobzów, Luksusowe Nowoczesne Ciche"," Kraków, Łobzów",4 pokoje,"103,17 m²",8 723 zł/m²,900000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Super Apartament Do Inwestycji /Garaż - Pawia," Kraków, Stare Miasto",2 pokoje,"60,50 m²",12 545 zł/m²,759000zł
Ostatnie mieszkanie!! Piłsudskiego," Kraków, Stare Miasto",2 pokoje,"42,30 m²",19 900 zł/m²,841770zł
"Mieszkanie, 63,91 m², Kraków"," Kraków, Stare Miasto",2 pokoje,"63,91 m²",13 143 zł/m²,840000zł
Oaza spokoju w sercu Kazimierza," Kraków, Kazimierz",3 pokoje,"72,32 m²",12 177 zł/m²,880640zł
"Kraków – Ludwinów – ul. Krasickiego – 86,60 m2"," Kraków, Podgórze",2 pokoje,"86,60 m²",9 815 zł/m²,850000zł
"Apartament z tarasem, widok na Wawel!"," Kraków, Stare Miasto",2 pokoje,80 m²,10 768 zł/m²,861437zł
"Duże, klimatyczne mieszkanie z ogródkiem Bronowice"," Kraków, Bronowice Małe",3 pokoje,"70,79 m²",12 417 zł/m²,879000zł
Wykończony Apartament - Dębniki," Kraków, Dębniki",3 pokoje,80 m²,11 125 zł/m²,890000zł
Nowy apartament Bronowice Małe bez prowizji," Kraków, Bronowice Małe",4 pokoje,125 m²,6 800 zł/m²,850000zł
Stare Miasto - sprzedaż od dewelopera," Kraków, Stare Miasto",1 pokój,"50,40 m²",16 647 zł/m²,839000zł
Bronowice Małe - 4 pokoje - biuro dewelopera!," Kraków, Bronowice Małe",4 pokoje,110 m²,7 485 zł/m²,823360zł
Apartament 3 pokoje 82m2 ul. Kazimierza Wielkiego," Kraków, Krowodrza",3 pokoje,82 m²,10 900 zł/m²,893800zł
3 pokoje w wyjątkowej lokalizacji - ul. Barska," Kraków, Podgórze",3 pokoje,"78,52 m²",11 449 zł/m²,899000zł
"Mieszkanie, 80 m², Kraków"," Kraków, Zakrzówek",3 pokoje,80 m²,11 125 zł/m²,890000zł
2 pokoje z widokiem na Wisłę i Wawel," Kraków, Dębniki",2 pokoje,"51,80 m²",16 699 zł/m²,865000zł
