nazwa,dzielnica,pokoj,metry,cena_metr,cena
"ZAREZERWOWANE, 42m2 po remoncie, Kraków Bieńczyce"," Kraków, Bieńczyce",2 pokoje,"42,28 m²",6 504 zł/m²,275000zł
"28.6 m2, Cichy Kącik, blisko centrum, AGH, Błonia"," Kraków, Cichy Kącik",1 pokój,"28,60 m²",10 455 zł/m²,299000zł
Ładna kawalerka ul. Rezedowa," Kraków, Prądnik Czerwony",1 pokój,34 m²,7 500 zł/m²,255000zł
4pokoje w zielonej okolicy- idelane dla rodziny!," Kraków, Mistrzejowice",4 pokoje,"72,50 m²",6 483 zł/m²,470000zł
3pokoje z Tarasem Na Dachu-piękny widok!Sprawdź!," Kraków, Mistrzejowice",3 pokoje,"63,60 m²",8 596 zł/m²,546700zł
Narożne dwupokojowe mieszkanie z prywatnym ogrodem," Kraków, Mistrzejowice",2 pokoje,"39,50 m²",7 030 zł/m²,277700zł
Zielone Zacisze-3pok. przy Parku!Biuro sprzedaży!," Kraków, Mistrzejowice",3 pokoje,51 m²,6 501 zł/m²,331560zł
Studio Przy Parku-bogata infrastruktura!Sprawdź!," Kraków, Mistrzejowice",1 pokój,"32,50 m²",6 946 zł/m²,225730zł
Kawalerka inwestycyjna przy Parku-dla wymagających," Kraków, Mistrzejowice",1 pokój,"29,11 m²",6 850 zł/m²,199400zł
Bronowice-2poziomowy apart.w zielonym sercu miasta," Kraków, Bronowice",4 pokoje,76 m²,8 318 zł/m²,632200zł
Zielone Zacisze Miasta-2pok. kameralna zabudowa!," Kraków, Bronowice",2 pokoje,"44,50 m²",8 865 zł/m²,394500zł
Dwupoziomowy apart. z prywatnym ogrodem-Bronowice," Kraków, Bronowice",6 pokoi,110 m²,8 847 zł/m²,973145zł
Lokalizacja Marzeń-korzystaj z uroku Dębników!," Kraków, Dębniki",2 pokoje,"44,16 m²",9 700 zł/m²,428352zł
Kameralny apart.z ogrodem przy Bulwarach Wiślanych," Kraków, Dębniki",2 pokoje,"44,50 m²",9 270 zł/m²,412500zł
Zacisze w centrum miasta- przy Parku Dębnickim!," Kraków, Dębniki",3 pokoje,"56,50 m²",9 246 zł/m²,522400zł
Gotowy apartament z ogrodem przy Wiśle- Sprawdź!," Kraków, Dębniki",3 pokoje,72 m²,9 174 zł/m²,660500zł
Dwupoziomowy apart. przy Wiśle-alternatywa domu!," Kraków, Dębniki",4 pokoje,"85,50 m²",9 399 zł/m²,803600zł
Dwupoziomowy apart. o krok od Bulwarów Wiślanych!," Kraków, Dębniki",3 pokoje,76 m²,9 340 zł/m²,709850zł
Luksusowy apartament z tarasem 135m na dachu!," Kraków, Dębniki",4 pokoje,118 m²,9 888 zł/m²,1166800zł
"Mieszkanie, 24 m², Kraków"," Kraków, Łobzów",1 pokój,24 m²,10 708 zł/m²,257000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
Kurdwanów- mieszkanie w cichej okolicy," Kraków, Kurdwanów",1 pokój,36 m²,7 917 zł/m²,285000zł
"CZYŻYNY, 3 pokoje, kuchnia, loggia, 65,4m2"," Kraków, Czyżyny",3 pokoje,"65,50 m²",7 328 zł/m²,480000zł
Mieszkanie na sprzedaż - Okulickiego Kraków," Kraków, Mistrzejowice",2 pokoje,63 m²,6 905 zł/m²,435000zł
Kawalerka 32 m2 - Inwestycja Prestige City," Kraków, Dębniki",1 pokój,32 m²,5 500 zł/m²,176000zł
Dwa pokoje z jasną oddzielna kuchnią na sprzedaż," Kraków, Grzegórzki",2 pokoje,"53,80 m²",8 346 zł/m²,449000zł
"2-pokojowe mieszkanie 42m2 , z ogródkiem"," Kraków, Opatkowice",2 pokoje,42 m²,7 262 zł/m²,305000zł
4- pokojowe mieszkanie na Kazimierzu," Kraków, Kazimierz",4 pokoje,100 m²,8 500 zł/m²,850000zł
"ul. Grodzka, 37,04 m2,Stare Miasto po remoncie"," Kraków, Stare Miasto",2 pokoje,"37,04 m²",16 604 zł/m²,615000zł
3 pokoje jasna kuchnia 63m² Blisko Rynku Głównego," Kraków, Krowodrza",3 pokoje,63 m²,7 825 zł/m²,493000zł
Pierwszy krok należy do Ciebie...," Kraków, Prądnik Czerwony",2 pokoje,"42,94 m²",7 850 zł/m²,337079zł
Ruczaj/2pokoje/34m2," Kraków, Ruczaj",2 pokoje,34 m²,7 647 zł/m²,260000zł
Garsoniera po remoncie w świetnej lokalizacji!," Kraków, Kazimierz",1 pokój,28 m²,13 500 zł/m²,378000zł
"Nowa Huta, Mistrzejowice , 3 pokoje, I piętro"," Kraków, Mistrzejowice",3 pokoje,"46,50 m²",6 774 zł/m²,315000zł
Bronowice śliczne mieszkanie z ogródkiem," Kraków, Bronowice",2 pokoje,51 m²,8 490 zł/m²,433000zł
"Apartament z antresolą, blisko Wisła las i Wawel"," Kraków, Salwator",1 pokój,"52,48 m²",9 470 zł/m²,497000zł
"Nowe, umeblowane, ogródek, parking"," Kraków, Krowodrza",2 pokoje,"45,67 m²",7 642 zł/m²,349000zł
"Cisza..Las...""SILVA PARK""-mieszkania Prądnik Biały"," Kraków, Prądnik Biały",3 pokoje,"68,06 m²",6 760 zł/m²,460085zł
Czyżyny - Kawalerka - Okazja," Kraków, Czyżyny",1 pokój,27 m²,8 704 zł/m²,235000zł
Krowodrza - 3 pokoje - Mega Okazja," Kraków, Krowodrza",3 pokoje,48 m²,7 708 zł/m²,370000zł
Przestronny 4-pokojowy apartament z tarasem," Kraków, małopolskie",4 pokoje,"111,30 m²",7 808 zł/m²,869000zł
Kurdwanów- Wola Duchacka- Włoska - 62 m2- loggia," Kraków, Kurdwanów",3 pokoje,62 m²,6 694 zł/m²,415000zł
"Mieszkanie, 92,73 m², Kraków"," Kraków, Bieżanów",4 pokoje,"92,73 m²",4 626 zł/m²,429000zł
2 pokojowe do remontu na Kazimierzu," Kraków, Kazimierz",2 pokoje,46 m²,8 196 zł/m²,377000zł
300 M od Kampusu Uniwersyteckeigo - opłacalna inwe," Kraków, Krowodrza",2 pokoje,"56,60 m²",7 420 zł/m²,420000zł
2-pokojowe blisko Pl. Bohaterów Getta," Kraków, Stare Podgórze",2 pokoje,34 m²,10 265 zł/m²,349000zł
Kawalerka blisko Kampusu Uniwersyteckiego," Kraków, Śródmieście",1 pokój,"32,50 m²",11 231 zł/m²,365000zł
Cichutka garsoniera z widokiem na zieleń," Kraków, Stare Podgórze",1 pokój,18 m²,12 500 zł/m²,225000zł
Studio na Kazimierzu," Kraków, Kazimierz",1 pokój,29 m²,9 000 zł/m²,261000zł
Atrakcyjne 100 metrowe poddasze," Kraków, Krowodrza",3 pokoje,107 m²,4 056 zł/m²,434000zł
2 pokojowe mieszkanie na Podgórzu," Kraków, Podgórze",2 pokoje,28 m²,7 321 zł/m²,205000zł
ul.Palacha -Świetne 1pok Parze/Singlom. Krowodrza.," Kraków, Azory",1 pokój,"24,10 m²",8 714 zł/m²,210000zł
2 pokojowe mieszkanie- os. Albertyńskie," Kraków, Bieńczyce",2 pokoje,44 m²,5 568 zł/m²,245000zł
Sprzedam 2 nowe mieszkania 5 min pieszo od Jubilat," Kraków, Stare Dębniki",3 pokoje,65 m²,9 538 zł/m²,620000zł
Prądnik Czerwony 2-Pokojowe Mieszkanie 51M2," Kraków, Prądnik Czerwony",2 pokoje,"51,20 m²",8 105 zł/m²,415000zł
Mieszkanie 3 pokoje + 40m tarasu - AZORY," Kraków, Bronowice",3 pokoje,"66,79 m²",7 621 zł/m²,509000zł
"Rekreacja, zieleń, odpoczynek, praca – w jednym!"," Kraków, Ruczaj",1 pokój,"36,63 m²",6 500 zł/m²,238095zł
Bronowice Wielkie- 2 pokoje w wyjątkowej okolicy," Kraków, Bronowice Wielkie",2 pokoje,"35,31 m²",6 532 zł/m²,230645zł
Bronowice Wielkie - Twoje miejsce do zamieszkania," Kraków, Bronowice",3 pokoje,"53,74 m²",6 870 zł/m²,369193zł
"Kameralne osiedle, wysoki standard"," Kraków, Podgórze",3 pokoje,"55,79 m²",6 300 zł/m²,351477zł
"Kameralne osiedle,mieszkanie w wysokim standardzie"," Kraków, Podgórze",1 pokój,"32,60 m²",6 500 zł/m²,211900zł
Mieszkanie W Zielonej Okolicy," Kraków, Mistrzejowice",2 pokoje,"36,09 m²",6 780 zł/m²,244675zł
Mieszkanie w zielonej okolicy," Kraków, Mistrzejowice",1 pokój,"29,90 m²",6 700 zł/m²,200330zł
Twoja rezydencja w uroczej dzielnicy!," Kraków, Opatkowice",4 pokoje,"81,24 m²",4 290 zł/m²,348520zł
"Unikalna lokalizacja, atrakcyjna cena"," Kraków, Nowa Huta",4 pokoje,"81,31 m²",5 800 zł/m²,471598zł
"Unikalna lokalizacja, atrakcyjna cena"," Kraków, Nowa Huta",3 pokoje,"52,02 m²",6 300 zł/m²,327726zł
